user_id,product_id
1,1
1,3
1,6
1,47
1,50
1,101
1,110
1,151
1,157
1,163
1,216
1,231
1,235
1,260
1,333
1,349
1,356
1,362
1,367
1,441
1,457
1,480
1,527
1,543
1,552
1,553
1,590
1,592
1,593
1,596
1,608
1,661
1,733
1,804
1,919
1,923
1,940
1,943
1,954
1,1023
1,1024
1,1025
1,1029
1,1031
1,1032
1,1042
1,1049
1,1060
1,1073
1,1080
1,1089
1,1090
1,1092
1,1097
1,1127
1,1136
1,1196
1,1197
1,1198
1,1206
1,1208
1,1210
1,1213
1,1214
1,1220
1,1222
1,1224
1,1226
1,1240
1,1256
1,1265
1,1270
1,1275
1,1278
1,1282
1,1291
1,1298
1,1348
1,1473
1,1500
1,1517
1,1552
1,1573
1,1587
1,1617
1,1620
1,1625
1,1732
1,1777
1,1793
1,1804
1,1805
1,1920
1,1927
1,1954
1,1967
1,2000
1,2005
1,2012
1,2018
1,2028
1,2033
1,2046
1,2048
1,2054
1,2058
1,2078
1,2090
1,2094
1,2096
1,2099
1,2105
1,2115
1,2116
1,2137
1,2139
1,2141
1,2143
1,2161
1,2174
1,2193
1,2268
1,2273
1,2291
1,2329
1,2353
1,2366
1,2387
1,2395
1,2406
1,2427
1,2450
1,2459
1,2470
1,2478
1,2492
1,2502
1,2529
1,2542
1,2571
1,2580
1,2596
1,2616
1,2628
1,2640
1,2641
1,2644
1,2648
1,2654
1,2692
1,2700
1,2716
1,2761
1,2797
1,2826
1,2858
1,2872
1,2899
1,2916
1,2944
1,2947
1,2948
1,2949
1,2959
1,2985
1,2987
1,2991
1,2993
1,2997
1,3033
1,3034
1,3052
1,3053
1,3062
1,3147
1,3168
1,3253
1,3273
1,3386
1,3439
1,3440
1,3441
1,3448
1,3450
1,3479
1,3489
1,3527
1,3578
1,3617
1,3639
1,3671
1,3702
1,3703
1,3729
1,3740
1,3744
1,3793
1,3809
1,4006
1,5060
2,333
2,1704
2,3578
2,6874
2,46970
2,48516
2,58559
2,60756
2,68157
2,74458
2,79132
2,80489
2,80906
2,86345
2,89774
2,106782
2,112552
2,122882
2,131724
3,849
3,1587
3,2288
3,2851
3,3024
3,3703
3,4518
3,5181
3,5746
3,5764
3,5919
3,6835
3,7899
3,7991
3,26409
3,70946
4,106
4,125
4,162
4,176
4,215
4,232
4,260
4,265
4,319
4,342
4,345
4,348
4,368
4,457
4,475
4,492
4,538
4,588
4,593
4,608
4,708
4,800
4,892
4,898
4,899
4,902
4,904
4,908
4,910
4,912
4,914
4,919
4,920
4,930
4,1025
4,1046
4,1073
4,1077
4,1080
4,1084
4,1086
4,1103
4,1136
4,1179
4,1188
4,1196
4,1197
4,1203
4,1213
4,1219
4,1225
4,1250
4,1259
4,1265
4,1266
4,1282
4,1283
4,1288
4,1291
4,1449
4,1466
4,1500
4,1517
4,1641
4,1719
4,1732
4,1733
4,1834
4,1883
4,1895
4,1914
4,1947
4,1967
4,1968
4,2076
4,2078
4,2109
4,2150
4,2174
4,2186
4,2203
4,2204
4,2351
4,2359
4,2390
4,2406
4,2467
4,2583
4,2599
4,2683
4,2692
4,2762
4,2791
4,2843
4,2858
4,2874
4,2921
4,2926
4,2997
4,3033
4,3044
4,3060
4,3083
4,3160
4,3176
4,3204
4,3255
4,3317
4,3365
4,3386
4,3408
4,3508
4,3851
4,3897
4,3967
4,3996
4,4021
4,4033
4,4034
4,4121
4,4239
4,4246
4,4273
4,4347
4,4765
4,4896
4,4902
4,4967
5,1
5,21
5,34
5,36
5,50
5,58
5,110
5,232
5,247
5,261
5,290
5,296
5,367
5,457
5,474
5,475
5,527
5,531
5,588
5,590
5,594
5,595
5,596
6,2
6,3
6,5
6,6
6,7
6,11
6,15
6,16
6,17
6,22
6,24
6,26
6,32
6,34
6,36
6,41
6,43
6,46
6,47
6,54
6,60
6,61
6,62
6,76
6,86
6,89
6,92
6,93
6,95
6,104
6,110
6,112
6,141
6,145
6,146
6,150
6,151
6,158
6,160
6,168
6,195
6,207
6,210
6,212
6,216
6,222
6,225
6,230
6,236
6,237
6,248
6,250
6,252
6,257
6,261
6,262
6,271
6,274
6,276
6,277
6,281
6,292
6,304
6,314
6,315
6,316
6,317
6,318
6,329
6,333
6,337
6,339
6,340
6,349
6,350
6,351
6,353
6,354
6,355
6,356
6,361
6,364
6,367
6,368
6,370
6,377
6,380
6,415
6,432
6,434
6,440
6,450
6,454
6,457
6,468
6,469
6,474
6,475
6,477
6,480
6,491
6,500
6,508
6,515
6,516
6,542
6,553
6,569
6,587
6,588
6,590
6,593
6,594
6,595
6,597
6,609
6,616
6,631
6,637
6,647
6,700
6,708
6,709
6,711
6,736
6,780
6,783
6,802
6,830
6,835
6,838
6,848
6,852
6,986
6,991
6,996
6,1004
6,1006
6,1049
6,1061
6,1064
6,1082
7,1
7,50
7,150
7,165
7,260
7,356
7,466
7,480
7,593
7,648
7,750
7,780
7,924
7,1101
7,1196
7,1208
7,1210
7,1219
7,1220
7,1240
7,1270
7,1584
7,1610
7,1917
7,1954
7,2019
7,2529
7,2671
